time,open,high,low,close
1657065600,20170.1,20396.7,19753,19940.4
1657080000,19940.4,20316.3,19850,20150.9
1657094400,20151,20295,20033.8,20098.7
1657108800,20098.7,20372.1,19950,20140.1
1657123200,20140.1,20477,20125.3,20319.8
1657137600,20319.8,20667.6,20259.2,20554.1
1657152000,20554.2,20588,20373.6,20474
1657166400,20474,20487.5,20244.9,20432.8
1657180800,20432.8,20619.1,20384.5,20504.3
1657195200,20504.3,21050,20367.9,20881.9
1657209600,20882,21830,20816.2,21797.8
1657224000,21797.9,21821.1,21515,21613.4
1657238400,21614.5,22579.9,21570.4,22119.7
1657252800,22119.7,22243.7,21707,21791.3
1657267200,21791.3,21814.1,21309,21577.7
1657281600,21577.8,22127.7,21175.2,21947.3
1657296000,21947.4,21961.6,21515,21805.6
1657310400,21805.5,22048,21568,21587.9
1657324800,21587.8,21687.3,21400,21605.9
1657339200,21606,21740.4,21477.4,21644.7
1657353600,21644.7,21785,21309.6,21437.4
1657368000,21437.4,21721.7,21373.2,21538.7
1657382400,21538.6,22000,21503.1,21613.3
1657396800,21613.2,21746.4,21530,21580
1657411200,21580,21594.2,21095.4,21288.6
1657425600,21288.6,21365.6,21152.8,21329.9
1657440000,21329.9,21433.3,21161.6,21296.1
1657454400,21294.6,21339.8,20808.2,20892.5
1657468800,20892.5,21046.6,20600,20913.1
1657483200,20913,21170,20670.7,20853.8
1657497600,20853.8,20853.9,20449.3,20540
1657512000,20540,20597.9,20345.8,20429.3
1657526400,20429.3,20625,20405.8,20465
1657540800,20465.1,20778.1,20260,20430.1
1657555200,20430.2,20733.8,20384,20499.8
1657569600,20499.9,20550,19870,19954.3
1657584000,19954.3,19994.8,19780,19934.3
1657598400,19934.2,20048.9,19618.2,19722.9
1657612800,19722.9,19843,19552.4,19765.1
1657627200,19765,19999.5,19680.8,19876.9
1657641600,19876.9,19993,19252.5,19383.6
1657656000,19383.7,19544.3,19228.3,19322.9
1657670400,19322.9,19578.1,19260,19462.7
1657684800,19462.7,19890,19410.3,19699.5
1657699200,19699.8,19928,19660,19833
1657713600,19833,20150,18901,19445.1
1657728000,19445.1,20106.6,19228.1,19644.7
1657742400,19644.7,20401.6,19575.5,20220.1
1657756800,20220.1,20436.6,20153.3,20215.3
1657771200,20215.3,20270.4,19894,19981.3
1657785600,19981.3,20047,19617.4,19728
1657800000,19728.1,20463.3,19600,20379.3
1657814400,20379.4,20900,20130,20602.9
1657828800,20603,20713.2,20425.6,20578.6
1657843200,20578.6,20825,20364.3,20601.4
1657857600,20601.4,20940,20481.2,20823.4
1657872000,20823.3,21054,20711.3,20764.2
1657886400,20764.3,21090,20754.1,20785.1
1657900800,20785.1,21197,20622,21156.7
1657915200,21156.7,21200,20755,20823.1
1657929600,20823.1,20854.2,20600,20727.3
1657944000,20727.4,20750.8,20471,20541
1657958400,20541,20680,20534.3,20604.6
1657972800,20604.7,20950,20583.6,20935
1657987200,20934.9,21580,20919.1,21184.3
1658001600,21184.3,21343.4,20900,21183.5
1658016000,21183.6,21449.1,21071.7,21314.1
1658030400,21314.1,21674.1,21222,21460
1658044800,21460,21545.7,21210.1,21450.7
1658059200,21450.7,21495,21070,21158
1658073600,21158,21349.2,20810.4,21020.9
1658088000,21020.9,21070,20742,20794.4
1658102400,20794.4,21371.9,20764.4,21274
1658116800,21274.1,22401.4,21158.7,22243.4
1658131200,22243.3,22524.3,21972,22130
1658145600,22129.9,22800,21900.7,22674.2
1658160000,22673.6,22706.7,21385.7,21614.8
